T (K),Cp (J/ mole K)
829.029029,370.8979387
829.7297297,370.9970052
830.4304304,371.0959735
831.1311311,371.1948438
831.8318318,371.2936163
832.5325325,371.3922913
833.2332332,371.4908689
833.9339339,371.5893493
834.6346346,371.6877328
835.3353353,371.7860197
836.036036,371.88421
836.7367367,371.9823041
837.4374374,372.0803021
838.1381381,372.1782043
838.8388388,372.2760108
839.5395395,372.3737219
840.2402402,372.4713379
840.9409409,372.5688588
841.6416416,372.6662849
842.3423423,372.7636165
843.043043,372.8608536
843.7437437,372.9579966
844.4444444,373.0550457
845.1451451,373.152001
845.8458458,373.2488628
846.5465465,373.3456312
847.2472472,373.4423064
847.9479479,373.5388888
848.6486486,373.6353784
849.3493493,373.7317755
850.0500501,373.8280802
850.7507508,373.9242928
851.4514515,374.0204135
852.1521522,374.1164425
852.8528529,374.2123799
853.5535536,374.308226
854.2542543,374.4039809
854.954955,374.4996449
855.6556557,374.5952182
856.3563564,374.6907009
857.0570571,374.7860933
857.7577578,374.8813955
858.4584585,374.9766077
859.1591592,375.0717302
859.8598599,375.166763
860.5605606,375.2617065
861.2612613,375.3565608
861.961962,375.451326
862.6626627,375.5460025
863.3633634,375.6405903
864.0640641,375.7350896
864.7647648,375.8295007
865.4654655,375.9238237
866.1661662,376.0180589
866.8668669,376.1122063
867.5675676,376.2062662
868.2682683,376.3002388
868.968969,376.3941243
869.6696697,376.4879227
870.3703704,376.5816344
871.0710711,376.6752595
871.7717718,376.7687982
872.4724725,376.8622506
873.1731732,376.955617
873.8738739,377.0488975
874.5745746,377.1420923
875.2752753,377.2352016
875.975976,377.3282256
876.6766767,377.4211643
877.3773774,377.5140181
878.0780781,377.6067871
878.7787788,377.6994714
879.4794795,377.7920713
880.1801802,377.8845869
880.8808809,377.9770184
881.5815816,378.0693659
882.2822823,378.1616297
882.982983,378.2538098
883.6836837,378.3459066
884.3843844,378.4379201
885.0850851,378.5298505
885.7857858,378.621698
886.4864865,378.7134628
887.1871872,378.8051449
887.8878879,378.8967447
888.5885886,378.9882623
889.2892893,379.0796977
889.98999,379.1710513
890.6906907,379.2623232
891.3913914,379.3535134
892.0920921,379.4446223
892.7927928,379.5356499
893.4934935,379.6265964
894.1941942,379.7174621
894.8948949,379.8082469
895.5955956,379.8989512
896.2962963,379.9895751
896.996997,380.0801187
897.6976977,380.1705822
898.3983984,380.2609657
899.0990991,380.3512695
899.7997998,380.4414937
900.5005005,380.5316383
901.2012012,380.6217037
901.9019019,380.71169
902.6026026,380.8015972
903.3033033,380.8914256
904.004004,380.9811754
904.7047047,381.0708466
905.4054054,381.1604395
906.1061061,381.2499541
906.8068068,381.3393907
907.5075075,381.4287494
908.2082082,381.5180304
908.9089089,381.6072337
909.6096096,381.6963596
910.3103103,381.7854083
911.011011,381.8743798
911.7117117,381.9632743
912.4124124,382.052092
913.1131131,382.140833
913.8138138,382.2294975
914.5145145,382.3180856
915.2152152,382.4065974
915.9159159,382.4950332
916.6166166,382.583393
917.3173173,382.6716771
918.018018,382.7598855
918.7187187,382.8480184
919.4194194,382.936076
920.1201201,383.0240584
920.8208208,383.1119657
921.5215215,383.1997981
922.2222222,383.2875557
922.9229229,383.3752387
923.6236236,383.4628473
924.3243243,383.5503815
925.025025,383.6378415
925.7257257,383.7252274
926.4264264,383.8125395
927.1271271,383.8997778
927.8278278,383.9869424
928.5285285,384.0740336
929.2292292,384.1610514
929.9299299,384.2479961
930.6306306,384.3348677
931.3313313,384.4216663
932.032032,384.5083922
932.7327327,384.5950454
933.4334334,384.6816261
934.1341341,384.7681344
934.8348348,384.8545705
935.5355355,384.9409345
936.2362362,385.0272266
936.9369369,385.1134468
937.6376376,385.1995953
938.3383383,385.2856723
939.039039,385.3716778
939.7397397,385.4576121
940.4404404,385.5434752
941.1411411,385.6292673
941.8418418,385.7149885
942.5425425,385.8006389
943.2432432,385.8862188
943.9439439,385.9717281
944.6446446,386.0571671
945.3453453,386.1425359
946.046046,386.2278345
946.7467467,386.3130633
947.4474474,386.3982221
948.1481481,386.4833113
948.8488488,386.5683309
949.5495495,386.653281
950.2502503,386.7381619
950.950951,386.8229735
951.6516517,386.9077161
952.3523524,386.9923897
953.0530531,387.0769946
953.7537538,387.1615307
954.4544545,387.2459983
955.1551552,387.3303975
955.8558559,387.4147284
956.5565566,387.4989911
957.2572573,387.5831857
957.957958,387.6673124
958.6586587,387.7513714
959.3593594,387.8353626
960.0600601,387.9192863
960.7607608,388.0031425
961.4614615,388.0869315
962.1621622,388.1706532
962.8628629,388.2543079
963.5635636,388.3378957
964.2642643,388.4214166
964.964965,388.5048708
965.6656657,388.5882584
966.3663664,388.6715796
967.0670671,388.7548345
967.7677678,388.8380231
968.4684685,388.9211456
969.1691692,389.0042021
969.8698699,389.0871928
970.5705706,389.1701178
971.2712713,389.2529771
971.971972,389.3357709
972.6726727,389.4184993
973.3733734,389.5011624
974.0740741,389.5837604
974.7747748,389.6662933
975.4754755,389.7487613
976.1761762,389.8311645
976.8768769,389.913503
977.5775776,389.995777
978.2782783,390.0779864
978.978979,390.1601315
979.6796797,390.2422124
980.3803804,390.3242292
981.0810811,390.4061819
981.7817818,390.4880708
982.4824825,390.5698959
983.1831832,390.6516573
983.8838839,390.7333551
984.5845846,390.8149896
985.2852853,390.8965606
985.985986,390.9780685
986.6866867,391.0595132
987.3873874,391.140895
988.0880881,391.2222138
988.7887888,391.3034699
989.4894895,391.3846633
990.1901902,391.4657942
990.8908909,391.5468626
991.5915916,391.6278686
992.2922923,391.7088124
992.992993,391.7896941
993.6936937,391.8705138
994.3943944,391.9512716
995.0950951,392.0319676
995.7957958,392.1126018
996.4964965,392.1931745
997.1971972,392.2736857
997.8978979,392.3541356
998.5985986,392.4345242
999.2992993,392.5148516
1000,392.5951179
